sample_rank,city,province,sample_type,content_growth,search_growth,event_trigger,accessibility,supply_capacity,weather_fit,novelty,cross_region_spread,risk_pressure,composite_score,confidence,action_level,disclaimer
1,延吉,吉林,演示候选（模拟）,84,79,76,66,61,72,86,82,28,72.5,0.91,行动,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
2,景德镇,江西,演示候选（模拟）,80,74,69,72,70,78,81,76,30,70.7,0.9,行动,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
3,柳州,广西,演示候选（模拟）,74,73,61,70,68,74,76,75,32,66.6,0.88,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
4,大同,山西,演示候选（模拟）,71,68,63,79,74,65,72,69,25,66.4,0.89,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
5,芒市,云南,演示候选（模拟）,76,70,72,57,55,83,88,71,34,66.0,0.88,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
6,泉州,福建,演示候选（模拟）,69,64,58,78,80,70,79,66,24,65.9,0.89,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
7,台州,浙江,演示候选（模拟）,65,62,55,82,77,73,68,63,22,63.9,0.88,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
8,遵义,贵州,演示候选（模拟）,67,60,64,68,65,77,73,62,29,61.7,0.87,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
9,开封,河南,演示候选（模拟）,63,61,59,83,76,69,65,60,31,61.6,0.87,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
10,宜宾,四川,演示候选（模拟）,61,58,57,72,69,71,70,59,26,59.5,0.86,观察,模拟数据，仅用于展示方法、界面与字段，不构成真实预测。
