case_id,city,case_type,relative_day,content_growth,search_growth,event_trigger,accessibility,supply_capacity,weather_fit,novelty,cross_region_spread,risk_pressure,composite_score,future_hot_label,data_status
淄博-demo,淄博,历史正例模板,-30,16.9,16.4,27.7,78,65,69,82,22.5,20.8,37.1,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-29,21.4,13.8,31.3,78,65,69,82,19.1,24.3,37.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-28,21.4,17.5,26.7,78,65,69,82,21.2,16.9,38.6,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-27,16.1,16.9,26.7,78,65,69,82,18.6,18.0,36.9,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-26,16.2,14.6,27.3,78,65,69,82,19.3,18.2,36.6,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-25,19.6,11.9,27.8,78,65,69,82,19.1,16.2,37.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-24,22.1,17.7,29.1,78,65,69,82,26.5,18.4,39.4,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-23,18.4,20.2,26.6,78,65,69,82,23.4,18.9,38.3,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-22,23.2,15.9,29.4,78,65,69,82,20.8,15.3,39.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-21,17.5,14.4,24.9,78,65,69,82,26.8,18.6,37.3,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-20,18.5,19.0,24.8,78,65,69,82,22.6,20.2,37.6,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-19,23.7,16.7,27.0,78,65,69,82,21.1,17.9,38.8,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-18,21.2,20.8,29.0,78,65,69,82,23.8,19.8,39.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-17,27.5,23.5,27.6,78,65,69,82,26.1,17.7,41.5,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-16,28.9,22.5,26.7,78,65,69,82,24.1,18.1,41.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-15,35.0,25.1,29.5,78,65,69,82,27.3,17.6,43.8,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-14,41.5,25.5,29.9,78,65,69,82,30.0,15.8,45.9,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-13,45.1,31.0,21.7,78,65,69,82,33.6,18.5,46.6,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-12,42.7,35.8,29.3,78,65,69,82,32.8,19.4,47.7,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-11,54.8,36.9,27.5,78,65,69,82,34.9,18.0,50.7,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-10,55.9,41.3,27.9,78,65,69,82,42.8,22.1,52.0,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-9,55.0,48.4,28.8,78,65,69,82,43.7,22.2,53.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-8,57.3,51.5,30.4,78,65,69,82,46.0,22.0,54.8,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-7,66.0,57.9,34.8,78,65,69,82,54.6,24.3,58.9,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-6,68.2,55.1,38.2,78,65,69,82,56.7,25.3,59.3,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-5,69.4,64.0,41.9,78,65,69,82,56.6,30.8,60.8,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-4,74.9,64.3,50.4,78,65,69,82,62.3,33.4,63.3,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-3,74.3,65.5,57.0,78,65,69,82,63.7,33.4,64.3,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-2,75.9,70.2,59.5,78,65,69,82,69.5,32.8,66.4,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,-1,75.8,70.7,65.3,78,65,69,82,71.6,36.5,66.9,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,0,82.0,69.9,72.2,78,65,69,82,68.2,38.5,68.3,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,1,79.5,72.8,73.1,78,65,69,82,71.8,40.5,68.4,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,2,83.4,73.0,75.4,78,65,69,82,70.7,42.1,69.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,3,80.5,73.2,78.9,78,65,69,82,70.3,43.1,68.9,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,4,82.8,76.7,79.5,78,65,69,82,72.5,40.3,70.7,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,5,78.6,80.8,80.2,78,65,69,82,71.5,39.6,70.6,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,6,76.4,74.7,78.1,78,65,69,82,77.4,41.2,69.1,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,7,77.9,72.8,78.6,78,65,69,82,78.4,44.1,68.8,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,8,80.9,76.3,79.7,78,65,69,82,76.7,43.0,70.3,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,9,81.2,75.2,80.6,78,65,69,82,73.5,41.4,70.2,1,模拟数据/方法演示
淄博-demo,淄博,历史正例模板,10,78.4,78.2,80.6,78,65,69,82,71.9,42.0,69.8,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-30,16.6,13.4,29.6,61,56,73,90,17.7,17.6,34.7,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-29,18.3,17.5,26.2,61,56,73,90,16.8,16.4,35.5,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-28,18.3,14.9,26.2,61,56,73,90,21.2,19.0,35.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-27,14.5,18.0,32.1,61,56,73,90,17.8,16.0,35.6,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-26,18.4,15.0,25.5,61,56,73,90,22.4,18.0,35.3,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-25,19.8,16.2,25.4,61,56,73,90,21.7,16.0,36.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-24,19.7,17.0,27.7,61,56,73,90,20.5,22.3,35.4,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-23,21.9,17.4,31.0,61,56,73,90,23.0,18.2,37.2,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-22,18.0,12.9,29.8,61,56,73,90,21.3,21.7,34.7,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-21,18.3,18.2,28.3,61,56,73,90,19.3,17.0,36.0,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-20,23.8,14.7,26.8,61,56,73,90,24.4,17.7,36.8,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-19,23.0,22.5,28.6,61,56,73,90,22.5,17.9,38.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-18,23.2,19.1,23.3,61,56,73,90,23.9,18.2,37.0,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-17,25.7,19.8,27.8,61,56,73,90,19.6,19.7,37.5,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-16,28.1,23.8,27.8,61,56,73,90,24.6,18.8,39.4,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-15,29.8,28.3,26.8,61,56,73,90,22.8,16.6,40.6,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-14,31.1,24.2,31.0,61,56,73,90,29.4,17.0,41.3,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-13,37.6,28.9,30.6,61,56,73,90,27.9,18.3,43.2,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-12,40.8,27.0,26.6,61,56,73,90,30.8,19.6,43.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-11,42.5,31.9,26.5,61,56,73,90,32.9,15.5,45.2,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-10,45.2,42.4,29.8,61,56,73,90,37.6,20.8,47.8,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-9,53.9,39.5,31.5,61,56,73,90,40.4,22.2,49.4,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-8,59.0,48.4,31.7,61,56,73,90,44.1,16.5,53.4,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-7,64.9,48.5,34.0,61,56,73,90,47.4,24.9,54.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-6,63.2,53.0,37.8,61,56,73,90,52.6,24.3,55.6,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-5,67.9,56.8,41.2,61,56,73,90,56.6,24.3,58.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-4,70.8,63.8,48.4,61,56,73,90,61.4,28.5,60.7,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-3,76.6,66.7,53.5,61,56,73,90,59.7,31.9,62.4,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-2,73.4,72.0,59.7,61,56,73,90,68.4,33.9,64.0,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,-1,72.6,67.4,64.2,61,56,73,90,68.1,37.7,62.9,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,0,76.9,71.0,67.4,61,56,73,90,66.3,35.6,65.0,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,1,79.5,68.5,73.7,61,56,73,90,69.2,40.1,65.5,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,2,82.2,75.6,74.8,61,56,73,90,67.5,40.7,67.3,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,3,76.0,72.6,76.2,61,56,73,90,69.2,39.8,65.8,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,4,79.0,76.3,77.2,61,56,73,90,73.3,37.0,68.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,5,78.4,77.0,82.7,61,56,73,90,73.5,40.6,68.3,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,6,81.2,74.6,78.6,61,56,73,90,76.1,40.7,68.2,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,7,83.0,72.6,78.5,61,56,73,90,76.7,41.7,68.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,8,81.2,72.7,77.1,61,56,73,90,72.7,42.1,67.1,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,9,80.3,75.4,79.9,61,56,73,90,72.8,41.6,67.8,1,模拟数据/方法演示
天水-demo,天水,历史正例模板,10,83.1,75.1,83.2,61,56,73,90,70.0,44.0,68.1,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-30,22.3,12.8,28.1,74,82,88,76,21.3,17.5,40.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-29,17.1,12.1,29.8,74,82,88,76,23.9,20.8,39.0,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-28,19.0,16.3,28.0,74,82,88,76,23.1,21.5,39.8,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-27,17.1,15.4,24.7,74,82,88,76,16.7,16.5,38.9,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-26,16.7,18.0,25.8,74,82,88,76,21.3,17.9,39.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-25,27.2,18.4,26.9,74,82,88,76,23.0,15.4,42.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-24,21.4,17.2,23.9,74,82,88,76,20.2,17.5,40.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-23,24.4,17.3,27.9,74,82,88,76,23.1,16.3,41.9,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-22,25.6,18.7,29.0,74,82,88,76,22.9,17.6,42.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-21,25.1,22.7,25.7,74,82,88,76,24.2,17.3,42.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-20,27.3,23.9,23.3,74,82,88,76,27.3,18.1,43.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-19,31.0,24.7,32.0,74,82,88,76,27.5,18.0,45.4,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-18,31.4,23.6,28.8,74,82,88,76,31.2,17.6,45.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-17,41.3,29.0,27.0,74,82,88,76,28.7,19.8,47.6,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-16,43.5,32.4,27.8,74,82,88,76,33.3,21.0,49.1,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-15,51.4,36.1,27.7,74,82,88,76,35.1,19.9,51.9,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-14,54.4,39.5,28.7,74,82,88,76,39.2,18.6,53.9,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-13,53.1,41.3,27.4,74,82,88,76,45.0,20.7,54.0,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-12,62.4,50.2,32.4,74,82,88,76,47.8,21.2,58.5,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-11,66.4,52.1,30.3,74,82,88,76,55.0,22.7,59.9,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-10,70.6,58.4,32.1,74,82,88,76,56.2,26.9,61.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-9,70.5,61.0,34.5,74,82,88,76,61.7,29.4,62.6,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-8,74.8,60.4,35.3,74,82,88,76,65.4,30.9,63.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-7,74.8,68.2,43.1,74,82,88,76,67.1,31.7,66.1,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-6,75.2,69.7,43.1,74,82,88,76,61.1,34.0,65.5,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-5,75.9,72.2,54.2,74,82,88,76,71.8,32.7,68.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-4,76.0,68.5,58.7,74,82,88,76,67.1,38.7,67.2,1,模拟数据/方法演示
