code,name,province
110100,北京市,北京市
120100,天津市,天津市
130100,石家庄,河北省
130200,唐山,河北省
130300,秦皇岛,河北省
130400,邯郸,河北省
130500,邢台,河北省
130600,保定,河北省
130700,张家口,河北省
130800,承德,河北省
130900,沧州,河北省
131000,廊坊,河北省
131100,衡水,河北省
140100,太原,山西省
140200,大同,山西省
140300,阳泉,山西省
140400,长治,山西省
140500,晋城,山西省
140600,朔州,山西省
140700,晋中,山西省
140800,运城,山西省
140900,忻州,山西省
141000,临汾,山西省
141100,吕梁,山西省
150100,呼和浩特,内蒙古自治区
150200,包头,内蒙古自治区
150300,乌海,内蒙古自治区
150400,赤峰,内蒙古自治区
150500,通辽,内蒙古自治区
150600,鄂尔多斯,内蒙古自治区
150700,呼伦贝尔,内蒙古自治区
150800,巴彦淖尔,内蒙古自治区
150900,乌兰察布,内蒙古自治区
152200,兴安盟,内蒙古自治区
152500,锡林郭勒盟,内蒙古自治区
152900,阿拉善盟,内蒙古自治区
210100,沈阳,辽宁省
210200,大连,辽宁省
210300,鞍山,辽宁省
210400,抚顺,辽宁省
210500,本溪,辽宁省
210600,丹东,辽宁省
210700,锦州,辽宁省
210800,营口,辽宁省
210900,阜新,辽宁省
211000,辽阳,辽宁省
211100,盘锦,辽宁省
211200,铁岭,辽宁省
211300,朝阳,辽宁省
211400,葫芦岛,辽宁省
220100,长春,吉林省
220200,吉林,吉林省
220300,四平,吉林省
220400,辽源,吉林省
220500,通化,吉林省
220600,白山,吉林省
220700,松原,吉林省
220800,白城,吉林省
222400,延边朝鲜族自治州,吉林省
230100,哈尔滨,黑龙江省
230200,齐齐哈尔,黑龙江省
230300,鸡西,黑龙江省
230400,鹤岗,黑龙江省
230500,双鸭山,黑龙江省
230600,大庆,黑龙江省
230700,伊春,黑龙江省
230800,佳木斯,黑龙江省
230900,七台河,黑龙江省
231000,牡丹江,黑龙江省
231100,黑河,黑龙江省
231200,绥化,黑龙江省
232700,大兴安岭地区,黑龙江省
310100,上海市,上海市
320100,南京,江苏省
320200,无锡,江苏省
320300,徐州,江苏省
320400,常州,江苏省
320500,苏州,江苏省
320600,南通,江苏省
320700,连云港,江苏省
320800,淮安,江苏省
320900,盐城,江苏省
321000,扬州,江苏省
321100,镇江,江苏省
321200,泰州,江苏省
321300,宿迁,江苏省
330100,杭州,浙江省
330200,宁波,浙江省
330300,温州,浙江省
330400,嘉兴,浙江省
330500,湖州,浙江省
330600,绍兴,浙江省
330700,金华,浙江省
330800,衢州,浙江省
330900,舟山,浙江省
331000,台州,浙江省
331100,丽水,浙江省
340100,合肥,安徽省
340200,芜湖,安徽省
340300,蚌埠,安徽省
340400,淮南,安徽省
340500,马鞍山,安徽省
340600,淮北,安徽省
340700,铜陵,安徽省
340800,安庆,安徽省
341000,黄山,安徽省
